id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,bmi,children,smoker,region,expenses
74,Male,50,1,28,1,1-2 Year,No,27784,26,277,0,32,1,no,southeast,11946.63
75,Male,59,1,23,0,1-2 Year,No,27865,124,39,0,27.4,2,no,southwest,7726.85
76,Female,59,1,26,1,1-2 Year,No,35649,122,136,0,34,0,no,northwest,11356.66
77,Male,67,1,28,1,1-2 Year,No,31993,122,61,0,29.6,1,no,southeast,3947.41
78,Female,27,1,33,1,< 1 Year,No,35512,152,111,0,35.5,0,no,southeast,1532.47
79,Male,29,1,28,0,1-2 Year,Yes,42567,26,167,1,39.8,0,no,northeast,2755.02
80,Male,77,1,37,1,1-2 Year,No,40651,124,183,0,33,0,no,northwest,6571.02
81,Male,54,1,26,0,1-2 Year,Yes,35493,22,74,0,26.9,1,no,northeast,4441.21
82,Female,28,1,28,1,< 1 Year,No,38529,152,235,0,38.3,0,no,northeast,7935.29
83,Female,39,1,8,1,1-2 Year,No,34735,152,131,0,37.6,1,yes,southeast,37165.16
84,Female,39,1,5,0,1-2 Year,Yes,31760,26,141,0,41.2,4,no,northwest,11033.66
85,Male,69,1,28,0,1-2 Year,Yes,29802,122,158,0,34.8,2,yes,southwest,39836.52
86,Female,21,1,17,0,< 1 Year,Yes,27756,160,243,0,22.9,2,yes,northwest,21098.55
87,Female,54,1,47,0,> 2 Years,Yes,32873,26,248,0,31.2,0,yes,northwest,43578.94
88,Male,25,1,23,0,< 1 Year,Yes,23537,152,58,0,27.2,0,no,southwest,11073.18
89,Female,23,1,35,1,< 1 Year,No,27606,160,114,0,27.7,0,no,northwest,8026.67
90,Female,20,1,36,0,< 1 Year,Yes,46275,160,281,1,27,0,no,northwest,11082.58
91,Female,25,1,50,1,< 1 Year,No,31556,152,62,0,39.5,0,no,southeast,2026.97
92,Female,26,1,30,1,< 1 Year,No,31791,152,189,0,24.8,1,no,northwest,10942.13
93,Male,77,1,28,0,1-2 Year,Yes,36099,124,139,0,29.8,3,yes,northeast,30184.94
94,Female,28,1,41,0,1-2 Year,No,2630,156,138,0,34.8,2,no,northwest,5729.01
95,Female,23,1,15,0,< 1 Year,Yes,41641,152,209,0,31.3,2,yes,southwest,47291.06
96,Female,23,1,30,0,< 1 Year,No,26689,152,254,0,37.6,1,no,southeast,3766.88
97,Male,50,1,28,0,1-2 Year,Yes,46995,52,291,0,30.8,3,no,southwest,12105.32
98,Female,62,1,28,0,> 2 Years,Yes,41892,155,114,0,38.3,0,no,southeast,10226.28
99,Female,21,1,2,0,< 1 Year,Yes,34274,152,79,0,20,0,yes,northeast,22412.65
100,Female,24,1,7,1,< 1 Year,Yes,2630,160,68,0,19.3,0,yes,southwest,15820.7
101,Male,52,1,28,1,1-2 Year,No,36033,26,92,0,31.6,0,no,southwest,6186.13
102,Male,24,1,3,1,< 1 Year,No,28139,152,52,0,25.5,0,no,northeast,3645.09
103,Female,20,1,30,0,< 1 Year,Yes,33227,160,78,0,30.1,0,no,northeast,21344.85
104,Female,22,1,8,1,< 1 Year,No,39816,152,156,0,29.9,3,yes,southeast,30942.19
105,Male,29,1,41,1,< 1 Year,Yes,43046,163,222,0,27.5,1,no,southwest,5003.85
106,Female,44,1,28,0,1-2 Year,Yes,50521,26,22,1,28,1,yes,northwest,17560.38
107,Female,23,1,41,1,< 1 Year,No,36674,152,158,0,28.4,1,no,southwest,2331.52
108,Male,31,1,29,0,1-2 Year,Yes,28867,124,247,0,30.9,2,no,northwest,3877.3
109,Male,72,1,46,1,1-2 Year,Yes,28698,30,216,0,27.9,0,no,southeast,2867.12
110,Male,45,1,35,0,1-2 Year,Yes,2630,124,275,0,35.1,0,yes,southeast,47055.53
111,Male,27,1,8,1,< 1 Year,No,31428,122,77,0,33.6,1,no,northwest,10825.25
112,Female,48,1,46,0,> 2 Years,Yes,37379,11,139,0,29.7,2,no,southwest,11881.36
113,Female,33,1,30,1,< 1 Year,No,24998,152,181,0,30.8,0,no,southwest,4646.76
114,Male,50,1,30,0,1-2 Year,Yes,34271,26,229,1,35.7,0,no,northwest,2404.73
115,Female,28,1,30,1,< 1 Year,No,32830,152,275,0,32.2,3,no,northeast,11488.32
116,Female,32,1,46,0,1-2 Year,Yes,34810,26,166,0,28.6,0,no,northeast,30260
117,Male,69,1,46,0,1-2 Year,Yes,2630,11,16,0,49.1,0,no,southeast,11381.33
118,Female,32,1,27,1,< 1 Year,No,22838,151,295,0,27.9,1,yes,southeast,19107.78
119,Female,23,1,29,1,< 1 Year,No,37983,152,23,0,27.2,0,no,southeast,8601.33
120,Female,23,1,25,0,< 1 Year,No,2630,152,149,0,23.4,2,no,northwest,6686.43
121,Male,39,1,3,0,1-2 Year,Yes,37239,26,216,1,37.1,2,no,southwest,7740.34
122,Female,39,1,28,1,1-2 Year,No,37243,124,31,0,23.8,0,no,northeast,1705.62
123,Male,37,1,13,0,1-2 Year,Yes,30440,124,293,0,29,0,no,northwest,2257.48
124,Male,34,1,18,0,1-2 Year,Yes,38232,124,156,1,31.4,1,yes,northeast,39556.49
125,Male,23,1,15,1,< 1 Year,No,25605,160,256,0,33.9,3,no,northwest,10115.01
126,Male,49,1,28,0,1-2 Year,Yes,2630,124,88,0,28.8,0,no,northeast,3385.4
127,Male,23,1,41,1,< 1 Year,No,33307,152,147,0,28.3,0,yes,southwest,17081.08
128,Female,22,1,25,0,< 1 Year,Yes,23955,160,22,0,37.4,0,no,southwest,9634.54
129,Female,22,1,20,0,< 1 Year,Yes,2630,152,219,0,17.8,2,yes,northwest,32734.19
130,Female,27,1,41,1,< 1 Year,No,22371,152,50,0,34.7,2,no,southwest,6082.41
131,Male,50,1,28,0,1-2 Year,Yes,57389,26,155,1,26.5,0,no,northeast,12815.44
132,Female,27,1,28,1,< 1 Year,No,30005,152,92,0,22,0,no,northeast,13616.36
133,Male,28,1,37,1,< 1 Year,No,32600,152,131,0,35.9,2,no,southwest,11163.57
134,Female,25,1,49,1,< 1 Year,No,31680,152,66,0,25.6,0,no,northwest,1632.56
135,Female,27,1,8,1,< 1 Year,No,40651,152,260,0,28.8,0,no,northeast,2457.21
136,Female,43,1,41,0,1-2 Year,Yes,2630,26,19,1,28.1,0,no,southeast,2155.68
137,Female,59,1,39,0,1-2 Year,Yes,32775,124,158,0,34.1,0,no,southwest,1261.44
138,Female,23,1,36,0,< 1 Year,Yes,33638,160,22,0,25.2,0,no,northwest,2045.69
139,Male,36,1,28,1,1-2 Year,No,2630,26,258,0,31.9,3,no,southeast,27322.73
140,Male,21,1,29,1,< 1 Year,No,62164,152,116,0,36,0,no,southwest,2166.73
141,Female,21,1,46,1,< 1 Year,No,27528,160,117,0,22.4,2,no,northeast,27375.9
142,Female,47,1,41,1,1-2 Year,No,42080,124,62,0,32.5,1,no,northeast,3490.55
143,Male,25,1,28,1,< 1 Year,No,36202,152,193,0,25.3,2,yes,southeast,18972.5
144,Female,32,1,46,0,1-2 Year,Yes,27320,156,204,0,29.7,2,no,northwest,18157.88
145,Male,21,1,3,1,< 1 Year,No,40511,160,212,0,28.7,3,yes,northwest,20745.99
146,Male,23,1,28,0,< 1 Year,Yes,56589,152,144,0,38.8,3,no,southeast,5138.26
147,Female,27,1,30,1,< 1 Year,No,33780,152,246,0,30.5,3,yes,northwest,40720.55
148,Male,20,1,39,1,< 1 Year,No,28329,160,78,0,37.7,1,no,southeast,9877.61
149,Female,38,1,28,0,1-2 Year,Yes,34471,124,234,1,37.4,1,no,northwest,10959.69
150,Female,22,1,11,1,< 1 Year,No,76651,152,258,0,28.4,1,no,southwest,1842.52
151,Male,25,1,8,0,< 1 Year,Yes,54385,152,206,0,24.1,1,no,northwest,5125.22
152,Male,27,1,28,0,< 1 Year,Yes,26732,152,282,0,29.7,0,no,southeast,7789.64
153,Male,51,1,19,0,1-2 Year,Yes,2630,124,228,0,37.1,3,no,northeast,6334.34
154,Male,53,1,28,1,1-2 Year,No,40397,122,156,0,23.4,0,yes,northeast,19964.75
155,Female,24,1,22,1,< 1 Year,No,34591,152,125,0,25.5,1,no,northeast,7077.19
156,Female,49,1,28,0,1-2 Year,Yes,32771,154,29,0,39.5,0,no,northwest,6948.7
157,Female,41,1,28,0,1-2 Year,Yes,54740,124,212,1,24.4,0,yes,southeast,21223.68
158,Male,41,1,35,0,1-2 Year,Yes,25112,154,221,0,25.2,0,yes,northeast,15518.18
159,Female,23,1,47,0,< 1 Year,Yes,28737,152,18,0,35.5,0,yes,southeast,36950.26
160,Female,31,1,15,1,< 1 Year,No,25908,152,84,0,27.8,3,no,southeast,19749.38
161,Male,20,1,3,1,< 1 Year,No,41914,160,206,0,26.6,0,yes,northwest,21348.71
162,Male,70,1,25,1,1-2 Year,No,2630,124,230,0,36.9,0,yes,southeast,36149.48
163,Male,78,1,28,1,1-2 Year,No,42462,26,54,0,39.6,1,no,southwest,10450.55
164,Female,31,1,28,1,1-2 Year,No,29395,26,123,0,29.8,2,no,southwest,5152.13
165,Female,48,1,36,1,1-2 Year,No,2630,124,189,0,29.6,0,no,northwest,5028.15
166,Male,25,1,30,1,< 1 Year,No,29396,152,22,0,28.2,4,no,northeast,10407.09
167,Female,28,1,44,0,1-2 Year,Yes,37570,156,258,1,37,5,no,southwest,4830.63
168,Female,26,1,8,0,< 1 Year,Yes,89282,152,101,0,33.2,3,no,northwest,6128.8
169,Female,60,1,28,1,1-2 Year,No,30386,26,114,0,31.8,1,no,northwest,2719.28
170,Female,28,1,8,1,< 1 Year,No,31454,152,86,0,18.9,3,no,northeast,4827.9
171,Male,23,1,36,1,< 1 Year,No,52462,152,243,0,41.5,0,no,southeast,13405.39
172,Male,22,1,36,1,< 1 Year,No,36352,152,13,0,30.3,0,no,southwest,8116.68
173,Female,50,1,28,0,1-2 Year,Yes,36282,26,237,0,16,0,no,northeast,1694.8
174,Female,33,1,36,1,< 1 Year,No,40899,152,85,0,34.8,1,no,southwest,5246.05
175,Male,24,1,35,1,< 1 Year,No,23540,152,98,0,33.3,0,no,northwest,2855.44
176,Female,22,1,36,1,< 1 Year,No,34527,152,67,0,37.7,0,yes,southwest,48824.45
177,Male,25,1,28,1,< 1 Year,No,101021,152,49,0,27.8,2,no,northwest,6455.86
178,Male,60,1,45,0,1-2 Year,No,42888,124,229,0,29.2,1,no,southwest,10436.1
179,Male,46,1,28,0,1-2 Year,Yes,60478,26,128,1,28.9,2,no,southwest,8823.28
180,Female,45,1,46,0,1-2 Year,Yes,22689,26,95,0,33.2,3,no,northeast,8538.29
181,Male,30,1,28,1,1-2 Year,No,40167,125,264,0,28.6,0,no,northwest,11735.88
182,Male,52,1,0,0,1-2 Year,Yes,2630,124,89,0,38.3,0,no,southeast,1631.82
183,Male,47,1,15,1,1-2 Year,No,29306,14,99,0,20,3,no,northeast,4005.42
184,Male,59,1,41,1,1-2 Year,No,28821,26,29,0,26.4,0,no,northwest,7419.48
185,Female,51,1,28,0,1-2 Year,Yes,57008,26,208,0,30.7,2,no,southeast,7731.43
186,Male,52,1,0,1,1-2 Year,No,2630,26,134,0,41.9,3,yes,northeast,43753.34
187,Male,48,1,8,0,> 2 Years,Yes,44021,124,135,0,29.9,2,no,southeast,3981.98
188,Male,42,1,37,0,1-2 Year,Yes,36532,124,268,0,30.9,3,no,southwest,5325.65
189,Female,45,1,28,0,1-2 Year,Yes,25604,26,85,0,32.2,1,no,southwest,6775.96
190,Female,27,1,11,1,1-2 Year,No,26756,124,254,0,32.1,2,no,northwest,4922.92
191,Female,28,1,8,1,< 1 Year,No,37731,152,30,0,31.6,0,no,southeast,12557.61
192,Female,24,1,16,1,< 1 Year,No,28190,152,284,0,26.2,0,no,southwest,4883.87
193,Male,32,1,46,1,< 1 Year,No,23847,152,183,0,25.7,0,no,southeast,2137.65
194,Male,21,1,47,0,< 1 Year,No,37028,160,119,0,26.6,1,no,northwest,12044.34
195,Male,39,1,28,1,1-2 Year,No,29468,26,166,0,34.4,0,no,southeast,1137.47
196,Male,55,1,30,1,1-2 Year,No,29215,26,226,0,30.6,0,no,northwest,1639.56
197,Female,56,1,15,0,1-2 Year,No,29132,154,229,0,32.8,0,no,southwest,5649.72
198,Male,42,1,3,0,1-2 Year,Yes,32293,124,105,1,28.6,2,no,southeast,8516.83
199,Female,26,1,26,1,< 1 Year,No,2630,152,142,0,18.1,0,no,northwest,9644.25
200,Female,42,1,28,0,1-2 Year,Yes,40613,124,242,0,39.3,0,no,northeast,14901.52
201,Male,55,1,28,0,1-2 Year,Yes,49470,124,203,0,32.1,0,no,northwest,2130.68
202,Female,41,1,28,0,1-2 Year,Yes,22561,124,207,1,32.2,1,no,southeast,8871.15
203,Male,22,1,11,1,< 1 Year,No,21126,152,272,0,24,0,no,northwest,13012.21
204,Male,42,1,8,0,1-2 Year,No,24224,154,66,0,36.1,0,yes,southeast,37133.9
205,Female,30,1,28,0,< 1 Year,Yes,39104,122,263,1,22.3,0,no,southwest,7147.11
206,Male,21,1,30,0,< 1 Year,Yes,26720,160,64,0,28.9,1,no,northeast,4337.74
207,Female,23,1,46,1,< 1 Year,No,18682,152,57,0,26.4,0,no,southeast,11743.3
208,Female,21,1,6,0,< 1 Year,Yes,19196,152,40,0,27.7,2,yes,northeast,20984.09
209,Male,24,1,6,1,< 1 Year,No,18576,151,245,0,31.8,0,no,southwest,13880.95
210,Male,26,1,37,0,< 1 Year,Yes,57159,160,163,0,41.2,1,no,northeast,6610.11
211,Female,48,1,28,1,1-2 Year,No,35945,124,24,0,33,1,no,southwest,1980.07
212,Male,45,1,28,0,1-2 Year,Yes,33205,26,243,0,30.9,4,no,northwest,8162.72
213,Male,44,1,28,0,> 2 Years,Yes,42754,124,23,1,28.5,2,no,northwest,3537.7
214,Male,42,1,45,0,1-2 Year,No,28759,25,102,0,26.7,1,no,southeast,5002.78
215,Male,44,1,2,0,1-2 Year,No,34618,26,265,0,30.9,2,no,southwest,8520.03
216,Female,25,1,9,0,< 1 Year,No,34280,160,202,0,37.1,2,no,southwest,7371.77
217,Female,60,1,28,0,> 2 Years,Yes,65472,26,36,0,26.6,0,no,northwest,10355.64
218,Female,21,1,46,0,< 1 Year,Yes,33245,152,259,0,23.1,0,no,southeast,2483.74
219,Male,22,1,15,0,< 1 Year,Yes,32252,160,100,0,29.9,1,no,southeast,3392.98
220,Male,23,1,41,1,< 1 Year,No,26285,152,91,0,23.2,0,no,southeast,25081.77
221,Female,44,1,28,1,1-2 Year,No,2630,124,114,0,33.7,1,no,southwest,5012.47
222,Male,40,1,20,0,1-2 Year,Yes,2630,26,204,0,33.3,0,no,northeast,10564.88
223,Male,21,1,27,1,< 1 Year,No,45006,160,106,0,30.8,3,no,southwest,5253.52
224,Female,61,1,28,0,> 2 Years,Yes,2630,157,190,1,34.8,0,yes,southwest,34779.62
225,Male,75,1,28,0,> 2 Years,Yes,40765,124,162,0,24.6,0,yes,southeast,19515.54
226,Female,53,1,28,1,1-2 Year,No,44313,61,33,0,33.9,3,no,southeast,11987.17
227,Male,37,1,8,1,1-2 Year,No,29099,152,194,0,38.1,0,no,southeast,2689.5
228,Male,29,1,28,1,< 1 Year,No,44742,152,85,0,41.9,0,no,southeast,24227.34
229,Male,32,1,50,0,< 1 Year,No,2630,1,287,0,31.6,1,no,northeast,7358.18
230,Female,64,1,28,1,1-2 Year,Yes,41697,26,287,0,25.5,2,no,northeast,9225.26
231,Male,42,1,31,0,1-2 Year,Yes,2630,124,181,0,36.2,1,no,northwest,7443.64
232,Male,24,1,47,0,< 1 Year,Yes,36414,124,292,0,27.8,3,no,southeast,14001.29
233,Male,53,1,0,0,1-2 Year,Yes,2630,26,69,0,17.8,0,no,southwest,1727.79
234,Male,62,1,15,0,1-2 Year,No,44679,86,239,0,27.5,1,no,southwest,12333.83
235,Male,25,1,46,1,< 1 Year,No,39914,152,235,0,24.5,2,no,northwest,6710.19
236,Male,23,1,39,0,< 1 Year,Yes,29575,152,281,1,22.2,2,yes,southeast,19444.27
237,Female,48,1,33,0,1-2 Year,Yes,44724,154,132,0,26.7,0,no,southeast,1615.77
238,Male,28,1,15,1,< 1 Year,No,38339,152,245,0,38.4,2,no,southeast,4463.21
239,Male,33,1,3,1,1-2 Year,No,27609,152,255,0,29.1,0,yes,northwest,17352.68
240,Female,63,1,28,0,> 2 Years,Yes,31004,26,281,0,38.1,1,no,southeast,7152.67
241,Male,22,1,46,1,< 1 Year,No,30745,152,147,0,36.7,2,yes,northeast,38511.63
242,Male,27,1,3,1,< 1 Year,No,27181,152,125,0,22.1,1,no,northeast,5354.07
243,Female,36,1,28,0,1-2 Year,Yes,40431,124,230,0,26.8,1,no,southwest,35160.13
244,Male,49,1,28,0,1-2 Year,Yes,45558,26,49,0,35.3,3,no,southwest,7196.87
245,Female,39,1,46,0,1-2 Year,No,35145,26,116,0,27.7,0,yes,northeast,29523.17
246,Female,21,1,11,0,< 1 Year,Yes,35555,152,242,1,30,0,no,northwest,24476.48
247,Female,57,1,46,0,1-2 Year,Yes,30777,26,158,0,38.1,0,no,southeast,12648.7
248,Female,43,1,28,0,1-2 Year,Yes,29578,31,203,1,35.9,0,no,southeast,1986.93
249,Female,25,1,27,0,< 1 Year,No,2630,152,167,0,20.9,1,no,southwest,1832.09
250,Male,41,1,11,1,1-2 Year,No,35614,26,152,0,29,1,no,northeast,4040.56
251,Male,33,1,31,1,< 1 Year,No,2630,152,259,0,17.3,2,yes,northeast,12829.46
252,Male,23,1,12,1,< 1 Year,No,24886,26,111,0,32.2,2,yes,southwest,47305.31
253,Female,20,1,34,0,< 1 Year,Yes,33247,160,281,0,34.2,2,yes,southeast,44260.75
254,Male,36,1,28,1,1-2 Year,No,47682,124,121,0,30.3,3,no,southwest,4260.74
255,Male,21,1,13,1,< 1 Year,No,37710,152,30,0,31.8,0,yes,northeast,41097.16
256,Female,57,1,28,0,> 2 Years,Yes,2630,26,71,0,25.4,3,no,northeast,13047.33
257,Male,25,1,28,1,< 1 Year,No,43516,152,150,0,33.6,0,yes,northwest,43921.18
258,Female,24,1,46,0,< 1 Year,Yes,27141,152,246,0,40.2,0,no,southeast,5400.98
259,Male,67,1,28,1,1-2 Year,No,31011,122,63,0,24.4,4,no,northwest,11520.1
260,Male,24,1,13,1,< 1 Year,No,44603,152,207,0,31.9,0,yes,northwest,33750.29
261,Male,54,1,28,0,1-2 Year,Yes,34367,124,237,1,25.2,0,no,southwest,11837.16
262,Female,22,1,12,1,< 1 Year,No,29823,152,128,0,26.8,1,yes,southeast,17085.27
263,Male,45,1,30,1,1-2 Year,No,2630,26,121,0,24.3,3,yes,northeast,24869.84
264,Male,22,1,36,1,< 1 Year,No,2630,152,60,0,37,0,yes,northwest,36219.41
265,Male,24,1,28,0,< 1 Year,Yes,21583,152,143,0,38.1,3,no,southeast,20463
266,Female,22,1,11,1,< 1 Year,No,32234,152,117,0,42.4,3,yes,southeast,46151.12
267,Male,48,1,28,0,1-2 Year,Yes,42028,26,77,0,19.8,1,yes,southeast,17179.52
268,Female,28,1,21,1,< 1 Year,No,26106,152,95,0,32.4,3,no,northeast,14590.63
269,Female,27,1,50,0,< 1 Year,Yes,2630,160,83,0,30.2,1,no,southwest,7441.05
270,Male,49,1,46,1,1-2 Year,No,2630,30,198,0,25.8,1,no,northeast,9282.48
271,Male,62,1,8,0,1-2 Year,Yes,47272,26,194,0,29.4,1,no,southeast,1719.44
272,Male,45,1,28,0,1-2 Year,Yes,42704,26,116,0,34.2,2,yes,southwest,42856.84
273,Female,60,1,6,0,1-2 Year,Yes,2630,157,143,0,37.1,2,no,northwest,7265.7
274,Female,20,1,17,0,1-2 Year,No,2630,156,181,0,27.5,1,no,northeast,9617.66
275,Female,38,1,10,0,1-2 Year,Yes,37039,124,103,0,27.6,0,no,northwest,2523.17
276,Female,52,1,31,0,1-2 Year,Yes,2630,26,127,0,26.6,2,no,northeast,9715.84
277,Female,36,1,15,0,1-2 Year,Yes,2630,26,69,1,20.6,2,no,northwest,2803.7
278,Male,55,1,28,0,> 2 Years,Yes,41246,26,285,0,24.3,0,no,southwest,2150.47
279,Female,20,1,35,0,< 1 Year,Yes,34281,160,214,0,31.8,2,no,southeast,12928.79
280,Male,25,1,28,1,< 1 Year,No,47031,26,151,0,21.6,1,no,southeast,9855.13
281,Male,25,1,39,0,< 1 Year,No,2630,152,217,0,28.1,1,yes,northeast,22331.57
